day,date,week,theme,themeOverlay,slot,timeLocal,publishAt,formatId,formatLabel,template,durationSec,hook,cta,hashtags,dataNeeds,status,videoFile,notes
1,2026-08-20,1,decouverte,C'est quoi PASS50 ? Le classement qui mesure l'activité publique.,1,07:00,2026-08-20T07:00,top3_matin,Top 3 du matin,top3,18,Le classement vient de bouger.,Lien en bio → pass50.store,#pass50 #pass50store #classement #influenceurs #tiktokci,top3|period24h,rendered,output/day-01/day-01_slot-01_top3_matin.mp4,"top3=Emma Lohoues,Lo Père Daloa,Paul Yves Ettien;spotlight=Apoutchou National;gainer=Lo Père Daloa;liveAM=Teknoush;livePM=Paul Yves Ettien"
1,2026-08-20,1,decouverte,C'est quoi PASS50 ? Le classement qui mesure l'activité publique.,2,09:00,2026-08-20T09:00,live_radar_matin,Radar live matin,live_alert,15,Quelqu'un est en live — radar PASS50.,Lien en bio → pass50.store,#pass50 #pass50store #classement #influenceurs #tiktokci,liveProfiles,rendered,output/day-01/day-01_slot-02_live_radar_matin.mp4,"top3=Emma Lohoues,Lo Père Daloa,Paul Yves Ettien;spotlight=Apoutchou National;gainer=Lo Père Daloa;liveAM=Teknoush;livePM=Paul Yves Ettien"
1,2026-08-20,1,decouverte,C'est quoi PASS50 ? Le classement qui mesure l'activité publique.,3,11:00,2026-08-20T11:00,fi_spotlight,FI du jour,profile_spotlight,20,Profil à suivre aujourd'hui.,Lien en bio → pass50.store,#pass50 #pass50store #classement #influenceurs #tiktokci,spotlightProfile|scoreDelta,rendered,output/day-01/day-01_slot-03_fi_spotlight.mp4,"top3=Emma Lohoues,Lo Père Daloa,Paul Yves Ettien;spotlight=Apoutchou National;gainer=Lo Père Daloa;liveAM=Teknoush;livePM=Paul Yves Ettien"
1,2026-08-20,1,decouverte,C'est quoi PASS50 ? Le classement qui mesure l'activité publique.,4,13:00,2026-08-20T13:00,classement_24h,Classement 24 h,ranking_table,22,Classement PASS50 — période 24 h.,Lien en bio → pass50.store,#pass50 #pass50store #classement #influenceurs #tiktokci,top10|period24h,rendered,output/day-01/day-01_slot-04_classement_24h.mp4,"top3=Emma Lohoues,Lo Père Daloa,Paul Yves Ettien;spotlight=Apoutchou National;gainer=Lo Père Daloa;liveAM=Teknoush;livePM=Paul Yves Ettien"
1,2026-08-20,1,decouverte,C'est quoi PASS50 ? Le classement qui mesure l'activité publique.,5,15:00,2026-08-20T15:00,sondage,Sondage / débat,poll,16,Tu mises sur qui pour ce soir ?,Lien en bio → pass50.store,#pass50 #pass50store #classement #influenceurs #tiktokci,top3,rendered,output/day-01/day-01_slot-05_sondage.mp4,"top3=Emma Lohoues,Lo Père Daloa,Paul Yves Ettien;spotlight=Apoutchou National;gainer=Lo Père Daloa;liveAM=Teknoush;livePM=Paul Yves Ettien"
1,2026-08-20,1,decouverte,C'est quoi PASS50 ? Le classement qui mesure l'activité publique.,6,17:00,2026-08-20T17:00,buzz_montee,Buzz / montée,momentum,18,Plus grosse montée du moment.,Lien en bio → pass50.store,#pass50 #pass50store #classement #influenceurs #tiktokci,biggestGainer|scoreDelta,rendered,output/day-01/day-01_slot-06_buzz_montee.mp4,"top3=Emma Lohoues,Lo Père Daloa,Paul Yves Ettien;spotlight=Apoutchou National;gainer=Lo Père Daloa;liveAM=Teknoush;livePM=Paul Yves Ettien"
1,2026-08-20,1,decouverte,C'est quoi PASS50 ? Le classement qui mesure l'activité publique.,7,19:00,2026-08-20T19:00,live_radar_soir,Radar live soir,live_alert,15,Live du soir sur le radar.,Lien en bio → pass50.store,#pass50 #pass50store #classement #influenceurs #tiktokci,liveProfiles,rendered,output/day-01/day-01_slot-07_live_radar_soir.mp4,"top3=Emma Lohoues,Lo Père Daloa,Paul Yves Ettien;spotlight=Apoutchou National;gainer=Lo Père Daloa;liveAM=Teknoush;livePM=Paul Yves Ettien"
1,2026-08-20,1,decouverte,C'est quoi PASS50 ? Le classement qui mesure l'activité publique.,8,21:00,2026-08-20T21:00,top3_soir,Top 3 du soir,top3,18,Top 3 avant minuit.,Lien en bio → pass50.store,#pass50 #pass50store #classement #influenceurs #tiktokci,top3|period24h,rendered,output/day-01/day-01_slot-08_top3_soir.mp4,"top3=Emma Lohoues,Lo Père Daloa,Paul Yves Ettien;spotlight=Apoutchou National;gainer=Lo Père Daloa;liveAM=Teknoush;livePM=Paul Yves Ettien"
1,2026-08-20,1,decouverte,C'est quoi PASS50 ? Le classement qui mesure l'activité publique.,9,23:00,2026-08-20T23:00,recap_jour,Récap journée,daily_recap,24,Récap PASS50 de la journée.,Lien en bio → pass50.store,#pass50 #pass50store #classement #influenceurs #tiktokci,top3|biggestGainer|liveCount,rendered,output/day-01/day-01_slot-09_recap_jour.mp4,"top3=Emma Lohoues,Lo Père Daloa,Paul Yves Ettien;spotlight=Apoutchou National;gainer=Lo Père Daloa;liveAM=Teknoush;livePM=Paul Yves Ettien"
1,2026-08-20,1,decouverte,C'est quoi PASS50 ? Le classement qui mesure l'activité publique.,10,01:00,2026-08-21T01:00,teaser_lendemain,Teaser lendemain,teaser,14,Demain matin : nouveau Top 3.,Lien en bio → pass50.store,#pass50 #pass50store #classement #influenceurs #tiktokci,,rendered,output/day-01/day-01_slot-10_teaser_lendemain.mp4,"top3=Emma Lohoues,Lo Père Daloa,Paul Yves Ettien;spotlight=Apoutchou National;gainer=Lo Père Daloa;liveAM=Teknoush;livePM=Paul Yves Ettien"
1,2026-08-20,1,decouverte,C'est quoi PASS50 ? Le classement qui mesure l'activité publique.,11,03:00,2026-08-21T03:00,coulisses,Coulisses / éducatif,explainer,20,Comment PASS50 calcule un score ?,Lien en bio → pass50.store,#pass50 #pass50store #classement #influenceurs #tiktokci,,rendered,output/day-01/day-01_slot-11_coulisses.mp4,"top3=Emma Lohoues,Lo Père Daloa,Paul Yves Ettien;spotlight=Apoutchou National;gainer=Lo Père Daloa;liveAM=Teknoush;livePM=Paul Yves Ettien"
1,2026-08-20,1,decouverte,C'est quoi PASS50 ? Le classement qui mesure l'activité publique.,12,05:00,2026-08-21T05:00,classement_7j,Classement 7 j,ranking_table,20,Vue 7 jours — qui tient la route ?,Lien en bio → pass50.store,#pass50 #pass50store #classement #influenceurs #tiktokci,top5|period7j,rendered,output/day-01/day-01_slot-12_classement_7j.mp4,"top3=Emma Lohoues,Lo Père Daloa,Paul Yves Ettien;spotlight=Apoutchou National;gainer=Lo Père Daloa;liveAM=Teknoush;livePM=Paul Yves Ettien"
2,2026-08-21,1,decouverte,C'est quoi PASS50 ? Le classement qui mesure l'activité publique.,1,07:00,2026-08-21T07:00,top3_matin,Top 3 du matin,top3,18,Top 3 PASS50 ce matin.,Lien en bio → pass50.store,#pass50 #pass50store #classement #tiktokci #abidjan,top3|period24h,rendered,output/day-02/day-02_slot-01_top3_matin.mp4,"top3=Emma Lohoues,Lo Père Daloa,Paul Yves Ettien;spotlight=Maabio;gainer=Emma Lohoues;liveAM=INadeBelle;livePM=Apoutchou National"
2,2026-08-21,1,decouverte,C'est quoi PASS50 ? Le classement qui mesure l'activité publique.,2,09:00,2026-08-21T09:00,live_radar_matin,Radar live matin,live_alert,15,Alerte live détectée.,Lien en bio → pass50.store,#pass50 #pass50store #classement #tiktokci #abidjan,liveProfiles,rendered,output/day-02/day-02_slot-02_live_radar_matin.mp4,"top3=Emma Lohoues,Lo Père Daloa,Paul Yves Ettien;spotlight=Maabio;gainer=Emma Lohoues;liveAM=INadeBelle;livePM=Apoutchou National"
2,2026-08-21,1,decouverte,C'est quoi PASS50 ? Le classement qui mesure l'activité publique.,3,11:00,2026-08-21T11:00,fi_spotlight,FI du jour,profile_spotlight,20,Une FI monte fort.,Lien en bio → pass50.store,#pass50 #pass50store #classement #tiktokci #abidjan,spotlightProfile|scoreDelta,rendered,output/day-02/day-02_slot-03_fi_spotlight.mp4,"top3=Emma Lohoues,Lo Père Daloa,Paul Yves Ettien;spotlight=Maabio;gainer=Emma Lohoues;liveAM=INadeBelle;livePM=Apoutchou National"
2,2026-08-21,1,decouverte,C'est quoi PASS50 ? Le classement qui mesure l'activité publique.,4,13:00,2026-08-21T13:00,classement_24h,Classement 24 h,ranking_table,22,Le Top 10 en un écran.,Lien en bio → pass50.store,#pass50 #pass50store #classement #tiktokci #abidjan,top10|period24h,rendered,output/day-02/day-02_slot-04_classement_24h.mp4,"top3=Emma Lohoues,Lo Père Daloa,Paul Yves Ettien;spotlight=Maabio;gainer=Emma Lohoues;liveAM=INadeBelle;livePM=Apoutchou National"
2,2026-08-21,1,decouverte,C'est quoi PASS50 ? Le classement qui mesure l'activité publique.,5,15:00,2026-08-21T15:00,sondage,Sondage / débat,poll,16,"Commente 1, 2 ou 3.",Lien en bio → pass50.store,#pass50 #pass50store #classement #tiktokci #abidjan,top3,rendered,output/day-02/day-02_slot-05_sondage.mp4,"top3=Emma Lohoues,Lo Père Daloa,Paul Yves Ettien;spotlight=Maabio;gainer=Emma Lohoues;liveAM=INadeBelle;livePM=Apoutchou National"
2,2026-08-21,1,decouverte,C'est quoi PASS50 ? Le classement qui mesure l'activité publique.,6,17:00,2026-08-21T17:00,buzz_montee,Buzz / montée,momentum,18,Ce profil explose le classement.,Lien en bio → pass50.store,#pass50 #pass50store #classement #tiktokci #abidjan,biggestGainer|scoreDelta,rendered,output/day-02/day-02_slot-06_buzz_montee.mp4,"top3=Emma Lohoues,Lo Père Daloa,Paul Yves Ettien;spotlight=Maabio;gainer=Emma Lohoues;liveAM=INadeBelle;livePM=Apoutchou National"
2,2026-08-21,1,decouverte,C'est quoi PASS50 ? Le classement qui mesure l'activité publique.,7,19:00,2026-08-21T19:00,live_radar_soir,Radar live soir,live_alert,15,"Le soir, ça chauffe sur PASS50.",Lien en bio → pass50.store,#pass50 #pass50store #classement #tiktokci #abidjan,liveProfiles,rendered,output/day-02/day-02_slot-07_live_radar_soir.mp4,"top3=Emma Lohoues,Lo Père Daloa,Paul Yves Ettien;spotlight=Maabio;gainer=Emma Lohoues;liveAM=INadeBelle;livePM=Apoutchou National"
2,2026-08-21,1,decouverte,C'est quoi PASS50 ? Le classement qui mesure l'activité publique.,8,21:00,2026-08-21T21:00,top3_soir,Top 3 du soir,top3,18,Classement du soir.,Lien en bio → pass50.store,#pass50 #pass50store #classement #tiktokci #abidjan,top3|period24h,rendered,output/day-02/day-02_slot-08_top3_soir.mp4,"top3=Emma Lohoues,Lo Père Daloa,Paul Yves Ettien;spotlight=Maabio;gainer=Emma Lohoues;liveAM=INadeBelle;livePM=Apoutchou National"
2,2026-08-21,1,decouverte,C'est quoi PASS50 ? Le classement qui mesure l'activité publique.,9,23:00,2026-08-21T23:00,recap_jour,Récap journée,daily_recap,24,Ce qu'il s'est passé aujourd'hui.,Lien en bio → pass50.store,#pass50 #pass50store #classement #tiktokci #abidjan,top3|biggestGainer|liveCount,rendered,output/day-02/day-02_slot-09_recap_jour.mp4,"top3=Emma Lohoues,Lo Père Daloa,Paul Yves Ettien;spotlight=Maabio;gainer=Emma Lohoues;liveAM=INadeBelle;livePM=Apoutchou National"
2,2026-08-21,1,decouverte,C'est quoi PASS50 ? Le classement qui mesure l'activité publique.,10,01:00,2026-08-22T01:00,teaser_lendemain,Teaser lendemain,teaser,14,Rendez-vous dans 6 h.,Lien en bio → pass50.store,#pass50 #pass50store #classement #tiktokci #abidjan,,rendered,output/day-02/day-02_slot-10_teaser_lendemain.mp4,"top3=Emma Lohoues,Lo Père Daloa,Paul Yves Ettien;spotlight=Maabio;gainer=Emma Lohoues;liveAM=INadeBelle;livePM=Apoutchou National"
2,2026-08-21,1,decouverte,C'est quoi PASS50 ? Le classement qui mesure l'activité publique.,11,03:00,2026-08-22T03:00,coulisses,Coulisses / éducatif,explainer,20,C'est quoi le radar live ?,Lien en bio → pass50.store,#pass50 #pass50store #classement #tiktokci #abidjan,,rendered,output/day-02/day-02_slot-11_coulisses.mp4,"top3=Emma Lohoues,Lo Père Daloa,Paul Yves Ettien;spotlight=Maabio;gainer=Emma Lohoues;liveAM=INadeBelle;livePM=Apoutchou National"
2,2026-08-21,1,decouverte,C'est quoi PASS50 ? Le classement qui mesure l'activité publique.,12,05:00,2026-08-22T05:00,classement_7j,Classement 7 j,ranking_table,20,"Le marathon, pas le sprint.",Lien en bio → pass50.store,#pass50 #pass50store #classement #tiktokci #abidjan,top5|period7j,rendered,output/day-02/day-02_slot-12_classement_7j.mp4,"top3=Emma Lohoues,Lo Père Daloa,Paul Yves Ettien;spotlight=Maabio;gainer=Emma Lohoues;liveAM=INadeBelle;livePM=Apoutchou National"
